id,first_name,last_name,country,number
420,Iean Noel,Burne,RSA,
421,Jouko,Ryhanen,FIN,
422,John,Cooper,GBR,
423,Giuseppe,Mandolini,ITA,
424,Ed,Labelle,USA,
425,Edy,Lenz,AUT,
426,Selwyn,Griffiths,GBR,
427,D.,Lloyd,CAN,
428,Billie,Nelson,GBR,
429,Ken,King,CAN,
430,D.,Loyd,CAN,
431,Josep Maria,Busquets,SPA,
432,John,Buckner,USA,
433,Rick,Schell,USA,
434,Joe,Tate,USA,
435,Haruo,Koshino,JPN,
436,Jacques,Roca,FRA,
437,Angel,Nieto,SPA,
438,Don,Williams,GBR,
439,John,Kiddie,GBR,
440,James,Pearson,GBR,
441,Les,Griffiths,?,
442,Yoshimi,Katayama,JPN,
443,Bill,Ivy,GBR,
444,Franziseh,Bocek,TCH,
445,Joachim,Leitert,GER,
446,Roland,Rentzsch,GER,
447,Ginger,Molloy,NZE,
448,Bob,Coulter,IRL,
449,Peter,Williams,GBR,
450,Ron,Chandler,GBR,
451,John,Blanchard,GBR,
452,Jeff,Mawby,GBR,
453,Malcom,Stanton,AUS,
454,John,Dodds,AUS,
455,Walter,Sommer,GER,
456,Herbert,Mann,GER,
457,Lothar,John,GER,
458,Arthur,Fegbli,SWI,
459,Oswald,Dittrich,?,
460,Akihiko,Motohashi,JPN,
461,Kel,Carruthers,AUS,
462,Kent,Andersson,SWE,
463,Hans,Bischoff,GER,
464,Seppo,Kangasniemi,FIN,
465,Dave,Simmonds,GBR,
466,Kevin,Cass,AUS,
467,Leonard,Atlee,AUS,
468,P.G.,Inchley,GBR,
469,Terry,Grotefeld,?,
470,Barry,Smith,AUS,
471,L.,Roth,?,
472,Steve,Spencer,GBR,
473,Angelo,Bergamonti,ITA,
474,Bo,Granath,SWE,
475,Andrea,Georgeades,CAN,
476,Rodney,Gould,GBR,
477,Maurice,Hawthorne,GBR,
478,Rolf,Schmid,GER,
479,Walter,Villa,ITA,
480,Rudolf,Schmälze,?,
481,Greame,Geddes,AUS,
482,Wolfgang,Reinhard,?,
483,Mick,Chatterton,GBR,
484,C.M.,Walpole,?,
485,E.L.,Griffith,?,
486,John,Lawley,?,
487,J.D.,Lawley,?,
488,R.M.,Udall,?,
489,Aalt,Toersen,NED,
490,Paul,Lodewijkx,NED,
491,Thomas,Heuschkel,GER,
492,Jurgen,Lenk,GER,
493,Herbert,Denzler,SWI,
494,Brian,Steenson,IRL,
495,Ian,McGregor,?,
496,Rex,Butcher,GBR,
497,Giovanni,Burlando,ITA,
498,Yvon,Duhamel,CAN,
499,F.,Camillieri,USA,
500,M.,Coopey,CAN,
501,Robert,Lusk,USA,
502,Jean Guy,Duval,CAN,
503,Ralf,Swegan,USA,
504,Robert,Messina,USA,
505,John,Allen,AUS,
506,Brian,Ball,GBR,
507,Barry,Randle,GBR,
508,Percy,Tait,GBR,
509,Bernard,Lund,GBR,
510,Silvano,Bertarelli,ITA,
511,Godfrey,Nash,GBR,
512,Santiago,Herrero,SPA,
513,Siegfried,Moehringer,GER,
514,Dieter,Braun,GER,
515,Rudolf,Schmalzle,?,
516,Ludwig,Fassbender,?,
517,S.J.,Florjan,?,
518,Carlos,Giro,SPA,
519,Carlos,Rocamora,SPA,
520,Paul,Eickelberg,GER,
521,Salvador,Cañellas,SPA,
522,Pedro,Alvarez,SPA,
523,F.,Cufi,?,
524,Malcolm,Uphill,GBR,
525,Gordon,Keith,RHO,
526,D.,Lock,?,
527,Jan,De Vries,NED,
528,Jos,Schurgers,NED,
529,Martin,Mijwaart,NED,
530,Gunter,Bartusch,GER,
531,Karl,Hoppe,GER,
532,Janos,Reisz,HUN,
533,Alan,Barnett,GBR,
534,Steve,Ellis,GBR,
535,Terry,Dennehy,AUS,
536,Karl,Auer,AUT,
537,Pentti,Lehtela,FIN,
538,Franco,Trabalzini,ITA,
539,Tom,Dickie,GBR,
540,Albergian,Louwes,NED,
541,Esko,Kuparinen,FIN,
542,Werner,Bergold,AUT,
543,Andre Luc,Appietto,FRA,
544,Keith,Turner,NZE,
545,Barry,Scully,GBR,
546,J.,O'Brien,GBR,
547,Gunter,Fischer,GER,
548,Gilbert,Argo,SWI,
549,Steve,Jolly,GBR,
550,A.T.,Lawton,GBR,
551,Emanuele,Maugliani,ITA,
552,Charlie,Williams,GBR,
553,Peter,Darvill,GBR,
554,Jack,Linah,SWE,
555,Ross,Hannan,AUS,
556,O.,Hansen,SWE,
557,Wolfgang,Stropek,AUT,
558,Adolf,Ohligschlaeger,GER,
559,Jerry,Lancaster,GBR,
560,Borje,Jansson,SWE,
561,Martti,Pesonen,FIN,
562,Enrique,Escuder,SPA,
563,Bruno,Veigel,SWI,
564,Pertti,Leinonen,FIN,
565,Ramon,Gali,SPA,
566,Gilberto,Parlotti,ITA,
567,G.,Lombardi,?,
568,J.,Unterladstatter,?,
569,Jean Louis,Pasquier,MON,
570,Jean Vivesse,Bordons,SPA,
571,Karel,Bojer,TCH,
572,Klaus,Huber,GER,
573,Toni,Gruber,GER,
574,Reinhard,Scholtis,GER,
575,Sigfried,Lohmann,GER,
576,Heinz,Kriwanek,AUT,
577,Ryszard,Mankiewicz,POL,
578,J.,Stefe,?,
579,Gerhard,Thurow,GER,
580,Eugenio,Lazzarini,ITA,
581,Jean,Aureal,FRA,
582,Christian,Ravel,FRA,
583,Jean Francois,Chaffin,FRA,
584,Pierre,Viura,FRA,
585,Daniel,Crivello,IRL,
586,Jean,Campiche,SWI,
587,C.,Dubols,?,
588,Billie,Guthrie,IRL,
589,M.,Hatherill,?,
590,R.A.,Graham,?,
591,Frank,Whiteway,GBR,
592,Derek,Chatterton,GBR,
593,Stan,Woods,GBR,
594,Ian,Richards,GBR,
595,John,Shacklady,GBR,
596,Charlie,Garner,GBR,
597,Tom,Loughridge,GBR,
598,Cliff,Carr,?,
599,Leo,Commu,NED,
600,John,Ringwood,GBR,
601,L.,Van Rijswijk,NED,
602,Adrijan,Bernetic,?,
603,André,Millard,?,
604,Marty,Lunde,USA,
605,Harmunt,Bischoff,GER,
606,F.,Ringhini,?,
607,Bernard,Mahler,GER,
608,I.,Sauter,?,
609,Penti,Korhonen,FIN,
610,Tevo,Lansivuori,FIN,
611,Chas,Mortimer,GBR,
612,John,Williams,GBR,
613,C.,Crawford,?,
614,Tony,Rutter,GBR,
615,Dave,Degens,?,
616,Ray,McCullough,IRL,
617,Dick,Pipes,GBR,
618,Steve,Aspin,?,
619,L.,Lawlor,?,
620,Fred,Redfern,?,
621,A.,Lawn,?,
622,Gary,Dickinson,GBR,
623,Luigi,Rinaudo,ITA,
624,Janos,Drapal,HUN,
625,A.,Kralj,?,
626,Roberto,Gallina,ITA,
627,Martin,Carney,GBR,
628,Erick,Offenstadt,FRA,
629,Paul,Smart,GBR,
630,Tony,Jefferies,GBR,
631,Walter,Rüngg,SWI,
632,Rob,Bron,NED,
633,Gerry,Mateer,IRL,
634,Giovanni,Perrone,ITA,
635,Brian,Adams,GBR,
636,Hans Otto,Butenuth,GER,
637,Vincent,Duckett,GBR,
638,Charlie,Dobson,GBR,
639,H.,Gorgen,?,
640,Hanz,Rosenbusch,GER,
641,Jarno,Saarinen,FIN,
642,Otello,Buscherini,ITA,
643,Hans,Dittberner,GER,
644,M.,Bernsee,?,
645,Harald,Bartol,AUT,
646,Christian,Bourgeois,FRA,
647,Juan,Bordons,SPA,
648,Giuseppe,Consalvi,ITA,
649,Bernd,Köhlar,GER,
650,Peter,Berwick,GBR,
651,Ray,Pickrell,?,
652,R.,Duffty,?,
653,Alex,George,GBR,
654,A.J.,Smith,GBR,
655,W.A.,Smith,GBR,
656,Fred,Launchbury,GBR,
657,Theo,Bult,NED,
658,Aad,Droog,NED,
