id,name,country
623,La Fonte Tascaracing,?
624,CIP Moto3,?
625,Redox RW Racing GP,?
626,GO&FUN Gresini Moto3,?
627,Attack Performance Racing,?
628,JiR Moto2,?
629,Ducati Test Team,?
630,TSR Motorsport,?
631,TargoBank Motorsport,?
632,Tec Interwetten Moto3 Racing,?
633,Cuna de Campeones,?
634,Gino Rea Race Team,?
635,ARC,?
636,Minimoto Portomaggiore,?
637,Aspar Team Moto2,?
638,TSR Motorsports,?
639,GMT Racing,?
640,Racing Team Van Leeuwen,?
641,Mahindra Spiel-Kiste,?
642,Maptaq SAG Zelos Team,?
643,Remus Racing Team,?
644,Promoto Sport,?
645,Gino Rea Montaze Broz Racing,?
646,Twelve Racing,?
647,"Junior Team Estrella Galicia 0,0",?
648,Singha Eneos Yamaha Tech3,?
649,Touchline-SIC-AJO,?
650,Bullet Racing,?
651,Interwetten Paddock Moto3,?
652,Webike Team Norick NTS,?
653,Team Plus One & Endurance,?
654,Honda Team Asia,?
655,Movistar Yamaha MotoGP,?
656,Drive M7 Aspar,?
657,Avintia Racing,?
658,AGR Team,?
659,APH PTT The Pizza SAG,?
660,Teluru Team JiR Webike,?
661,AirAsia Caterham,?
662,Gresini Moto2,?
663,AGT REA Racing,?
664,Tasca Racing Moto2,?
665,SaxoPrint-RTG,?
666,Calvo Team,?
667,Junior Team GO&FUN Moto3,?
668,SKY Racing Team  VR46,?
669,Red Bull Husqvarna Ajo,?
670,Junior Team Go&FUN Moto3,?
671,Ongetta-AirAsia,?
672,CIP,?
673,Avant Tecno Husqvarna Ajo,?
674,SIC-AJO,?
675,Argentina TSR Motorsport,?
676,Calvo Team Laglisse,?
677,RBA Racing Team,?
678,Octo IodaRacing Team,?
679,MT Racing Honda,?
680,Pos Corse,?
681,Paginas Amarillas HP 40,?
682,KRP Abbink Racing,?
683,71Workx.com Racing Team,?
684,SaxoPrint RTG,?
685,Fai Rent-A-Jet,?
686,Montaze Broz Racing Team,?
687,Brough Superior Racing,?
688,Redline Motorcycles/KTM UK,?
689,Ciatti,?
690,Team Ciatti,?
691,Interwetten Sitag,?
692,YAMALUBE Racing Team with YSP,?
693,Singha Eneos Yamaha Tech 3,?
694,Hot Racing with I-Factory,?
695,Liberto Plusone & Endurance,?
696,Team Laglisse Calvo,?
697,Olly Simpson Racing,?
698,Petronas AHM Malaysia,?
699,CWM LCR Honda,?
700,Team SUZUKI ECSTAR,?
701,"EG 0,0 Marc VDS",?
702,Athinà Forward Racing,?
703,Aspar MotoGP Team,?
704,Aprilia Racing Team Gresini,?
705,AB Motoracing,?
706,Derendinger Racing Interwetten,?
707,Tasca Racing Scuderia Moto2,?
708,Technomag Racing Interwetten,?
709,JIR Racing Team,?
710,Octo Iodaracing Team,?
711,sports-millions-EMWE-SAG,?
712,JPMoto Malaysia,?
713,Speed Up Racing,?
714,SAXOPRINT RTG,?
715,Gresini Racing Team Moto3,?
716,Leopard Racing,?
717,Husqvarna Factory Laglisse,?
718,MAPFRE Team MAHINDRA,?
719,Schedl GP Racing,?
720,Drive M7 SIC,?
721,Outox Reset Drink Team,?
722,SKY Racing Team VR46,?
723,Octo Pramac Racing,?
724,E-Motion IodaRacing Team,?
725,Gresini Racing,?
726,Minimoto Portmaggiore,?
727,Abbink GP,?
728,FPW Racing,?
729,SAXOPRINT-RTG,?
730,LCR Honda,?
731,FAB-Racing,?
732,RS Racing,?
733,Pons Racing Junior Team,?
734,Turvital di Vitali Ordeo,?
735,Yamaha Factory Racing Team,?
736,Team HRC with Nissin,?
737,NTS T.Pro Project,?
738,Musahi RT Harc-Pro,?
739,Suus Honda,?
740,OCTO Pramac Yakhnich,?
741,Aspar Team MotoGP,?
742,"Estrella Galicia 0,0 Marc VDS",?
743,Garage Plus Interwetten,?
744,CarXpert Interwetten,?
745,Forward Team,?
746,Sports-Millions-EMWE-SAG,?
747,ASPAR Mahindra Team Moto3,?
748,Gresini Racing Moto3,?
749,RW Racing GP BV,?
750,Drive M7 SIC Racing Team,?
751,MH6 Laglisse,?
752,Platinum Bay Real Estate,?
753,Peugeot MC Saxoprint,?
754,CIP-Unicom Starker,?
755,3570 Team Italia,?
756,MRW Mahindra Aspar Team,?
757,Procercasa - 42 Motorsport,?
758,MH6 Team,?
759,Pull & Bear Aspar Team,?
760,Pull & Bear ASPAR Mahindra Team,?
761,KRM-RZT,?
762,Freundenberg Racing Team,?
763,Northgate Mahindra ASPAR,?
764,Gaviota Mahindra ASPAR,?
765,Ajo Motorsport Academy,?
766,NTS T Pro Project,?
767,Motomex Team Worldwide Race,?
768,Yamalube Yamaha Factory Racing,?
769,Japan-GP2,?
770,Team Taro Plus One,?
771,Pull & Bear Aspar Mahindra Team,?
772,UQ & TELURU KOHARA RT,?
773,Red Bull KTM Factory Racing,?
774,GA Competicion,?
775,OCTO Pramac Racing,?
776,Reale Avintia Racing,?
777,Pull&Bear Aspar Team,?
778,Forward Racing Team,?
779,Pons HP40,?
780,Teluru SAG Team,?
781,BE-A-VIP SAG Team,?
782,QMMF Racing,?
783,British Talent Team,?
784,Del Conca Gresini Moto3,?
785,Marinelli Rivacold Snipers,?
786,SIC Racing Team,?
787,SIC58 Squadra Corse,?
788,MAHINDRA MOTARD Aspar,?
789,RBA BOE Racing Team,?
790,Südmetall Schedl GP Racing,?
791,Aspar Mahindra Moto3,?
792,Mahindra Gaviota Aspar,?
793,Motomex Team Moto3,?
794,Mahindra Northgate Aspar,?
795,Mahindra MRW Aspar Team,?
796,Reale Avintia Academy,?
797,Forward Junior Team,?
798,3570-MTA,?
799,42 Motorsport,?
800,Lamotec Lagemaat Racing,?
801,Willirace Team,?
802,Motorsport Kofler E.U.,?
803,City Lifting/RS Racing,?
804,Althea Racing,?
805,NTS,?
806,Sky Junior Team VR46 Academy,?
807,Teluru MOTOBUM Racing Team,?
808,MuSASHi RT HARC-RRO,?
809,Cube Racing,?
810,Petronas Sprinta Racing,?
811,Promoracing,?
812,Asia Talent Team,?
813,LCR Honda CASTROL,?
814,Alma Pramac Racing,?
815,Angel Nieto Team,?
816,LCR Honda IDEMITSU,?
817,Beta Tools - Speed Up Racing,?
818,NTS RW Racing GP,?
819,Marinelli Snipers Team,?
820,Nashi Argan SAG Team,?
821,Swiss Innovative Investors,?
